Industry,Company Size,Digital Tools Adopted,Year of Adoption,Impact on Revenue (%),Impact on Efficiency (%),Digital Skills Training,Customer Engagement Change (%),Geographic Region
Manufacturing,Large,"['Digital Twins', 'CRM']",2017,19.02,7.82,Yes,33.05,North America
Retail,Medium,['Digital Twins'],2021,22.82,14.83,Yes,6.21,Africa
Manufacturing,Small,['IoT'],2016,29.41,23.05,No,17.33,South America
Education,Medium,"['Blockchain', 'Digital Twins', 'ERP', 'Cloud Computing']",2015,20.47,13.06,Yes,25.55,Middle East
Retail,Medium,['Digital Twins'],2018,16.37,13,No,14.69,Europe
Manufacturing,Medium,['AI'],2021,18.54,11.8,No,24.21,South America
Education,Small,"['Digital Twins', 'AI', 'IoT', 'Cloud Computing']",2019,17.01,5.6,Yes,28.06,Europe
Technology,Small,"['CRM', 'Cloud Computing']",2015,8.9,21.6,No,21.58,Asia-Pacific
Retail,Large,"['AI', 'Cloud Computing']",2016,12.3,6.67,Yes,18.9,Asia-Pacific
Technology,Medium,"['Big Data Analytics', 'IoT', 'ERP', 'CRM']",2023,14.14,23.05,Yes,26.93,Europe
Transportation,Medium,"['AI', 'Blockchain', 'Big Data Analytics']",2018,24.72,13.42,Yes,31.36,Europe
Finance,Small,['IoT'],2023,6.83,9.4,No,27.37,Europe
Energy,Medium,"['ERP', 'Blockchain', 'Cloud Computing', 'Big Data Analytics']",2018,19.12,11.15,Yes,19.02,Asia-Pacific
Healthcare,Small,['AI'],2016,9.44,17.76,No,22.99,Asia-Pacific
Finance,Small,['Digital Twins'],2023,17.97,20.99,No,24.05,Asia-Pacific
Energy,Small,"['Blockchain', 'Big Data Analytics']",2015,23.62,6.1,No,12.42,Middle East
Finance,Large,"['Blockchain', 'Big Data Analytics', 'Digital Twins']",2015,24.44,8.13,Yes,7.79,Middle East
Finance,Large,['AI'],2018,19.19,19.49,Yes,15.52,Middle East
Finance,Small,"['CRM', 'Digital Twins', 'Blockchain']",2019,5.75,9.04,No,19.22,Europe
Energy,Medium,"['CRM', 'Big Data Analytics', 'AI', 'Cloud Computing']",2018,22.74,15.09,Yes,5.45,Africa
Healthcare,Large,"['Blockchain', 'Digital Twins', 'ERP', 'Big Data Analytics']",2023,13.3,23.94,No,12.76,Middle East
Transportation,Small,"['Digital Twins', 'AI']",2022,10.31,13.17,No,18.85,North America
Technology,Small,"['CRM', 'Big Data Analytics', 'AI']",2022,18.99,8.68,No,27.48,Europe
Technology,Large,"['Digital Twins', 'ERP', 'Big Data Analytics']",2015,17.26,7.44,Yes,15.1,Europe
Education,Large,"['CRM', 'Digital Twins', 'AI', 'Cloud Computing']",2015,16.1,14.3,Yes,28.18,Asia-Pacific
Finance,Small,['ERP'],2020,12.24,5.59,Yes,22.23,South America
Education,Medium,"['Digital Twins', 'AI', 'ERP']",2015,29.19,15.37,No,30.91,Middle East
Transportation,Medium,['Digital Twins'],2021,23.53,19.62,Yes,13.66,Asia-Pacific
Healthcare,Medium,"['Cloud Computing', 'Blockchain']",2018,28.7,10.65,Yes,5.11,Africa
Education,Small,"['Big Data Analytics', 'CRM']",2019,15.98,14.72,Yes,11.32,South America
Finance,Small,"['IoT', 'Blockchain', 'ERP', 'Big Data Analytics']",2015,22.79,5.82,Yes,12.62,North America
Transportation,Large,"['ERP', 'CRM', 'AI', 'Blockchain']",2017,6.47,13.08,No,32.71,Europe
